,age,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
177,58 ans,Sexe - Total,72391,73241,73432,72748,72842,74400,75835,78814,83634,87722,90428,92063,94127,95567,95961,95643,95380,94465,94746
178,58 ans,Homme,35301,35933,35982,35700,35823,36579,37262,38813,41479,43780,45151,46208,47240,47729,47800,47635,47739,47346,47309
179,58 ans,Femme,37090,37308,37450,37048,37019,37821,38573,40001,42155,43942,45277,45855,46887,47838,48161,48008,47641,47119,47437
180,59 ans,Sexe - Total,70592,71329,72314,72570,71766,71811,73440,74962,77961,82546,86767,89713,91302,93258,94720,95115,95032,94820,93822
181,59 ans,Homme,34112,34604,35361,35454,35070,35183,35968,36687,38249,40923,43205,44721,45756,46706,47225,47306,47275,47397,46964
182,59 ans,Femme,36480,36725,36953,37116,36696,36628,37472,38275,39712,41623,43562,44992,45546,46552,47495,47809,47757,47423,46858
183,60 ans,Sexe - Total,69190,69514,70399,71344,71471,70733,70918,72583,74033,77026,81835,85993,88880,90343,92282,93715,94348,94237,93903
184,60 ans,Homme,33270,33378,33994,34744,34757,34414,34613,35450,36088,37681,40426,42677,44180,45148,46054,46559,46815,46761,46760
185,60 ans,Femme,35920,36136,36405,36600,36714,36319,36305,37133,37945,39345,41409,43316,44700,45195,46228,47156,47533,47476,47143
186,61 ans,Sexe - Total,68289,68142,68540,69392,70294,70497,69864,70161,71811,72795,76078,81070,85172,87915,89406,91365,93043,93664,93442
187,61 ans,Homme,32449,32535,32723,33337,34027,34099,33825,34085,34923,35378,37094,39928,42147,43550,44534,45443,46139,46386,46228
188,61 ans,Femme,35840,35607,35817,36055,36267,36398,36039,36076,36888,37417,38984,41142,43025,44365,44872,45922,46904,47278,47214
189,62 ans,Sexe - Total,66716,67107,67117,67516,68255,69175,69362,68845,69173,70787,72098,75207,80215,84204,86949,88400,90528,92245,92759
190,62 ans,Homme,31310,31705,31901,32121,32652,33353,33414,33190,33481,34311,34915,36528,39380,41532,42928,43885,44919,45636,45808
191,62 ans,Femme,35406,35402,35216,35395,35603,35822,35948,35655,35692,36476,37183,38679,40835,42672,44021,44515,45609,46609,46951
192,63 ans,Sexe - Total,64492,65652,66078,66107,66416,67128,68135,68394,67894,68233,69939,71211,74277,79226,83255,85973,87570,89650,91283
193,63 ans,Homme,29895,30610,31041,31280,31443,31981,32748,32837,32613,32914,33772,34363,35983,38761,40929,42310,43341,44352,45041
194,63 ans,Femme,34597,35042,35037,34827,34973,35147,35387,35557,35281,35319,36167,36848,38294,40465,42326,43663,44229,45298,46242
