annee,canton,Total,Constructions,Amélio-,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere
2005,Lucerne,86796.0,0,25668,2478,12856,27160,3978.0,14655
2005,Neuchâtel,55266.0,-73,22528,167,1151,17988,6510.0,6995
2005,Nidwald,12646.0,448,2380,58,962,6016,609.0,2174
2005,Obwald,18148.0,0,10153,0,990,5089,338.0,1578
2005,Région lémanique,322127.0,4426,85127,4929,24669,132234,24390.0,46355
2005,Schaffhouse,16103.0,0,1935,20,1227,4229,1648.0,7046
2005,Schwytz,48347.0,1342,17907,0,5709,9855,2929.0,10605
2005,Soleure,88716.0,7784,35550,4850,4228,15013,3182.0,18109
2005,St. Gall,109361.0,21184,20092,2056,17298,24332,968.0,23430
2005,Suisse centrale,474519.0,72379,128727,6605,46011,143704,10951.0,66139
