,agglo_index,agglo,type_index,type,2011,2012,2013,2014
150,2701901.0,Bâle: ville-centre,2.0,Homicides,1.0,3.0,1.0,3.0
151,2701901.0,Bâle: ville-centre,3.0,Homicides pour 10'000 habitants,0.06,0.18,0.06,0.02
152,2701901.0,Bâle: ville-centre,4.0,Vols de voitures,76.0,58.0,43.0,28.0
153,2701901.0,Bâle: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.47,0.35,0.26,0.17
154,2701901.0,Bâle: ville-centre,6.0,Vols par effraction dans les logements,469.0,772.0,575.0,476.0
155,2701901.0,Bâle: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,2.87,4.69,3.47,2.84
156,2701901.0,Bâle: ville-centre,8.0,Personnes tuées dans les accidents de la route,3.0,5.0,2.0,1.0
157,2701901.0,Bâle: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.18,0.3,0.12,0.06
158,2701901.0,Bâle: ville-centre,10.0,Blessés graves dans les accidents de la route,84.0,73.0,73.0,83.0
159,2701901.0,Bâle: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,5.15,4.44,4.41,4.96
160,2701910.0,Bâle: ceinture suisse de l'agglomération,2.0,Homicides,1.0,5.0,1.0,2.0
161,2701910.0,Bâle: ceinture suisse de l'agglomération,3.0,Homicides pour 10'000 habitants,0.03,0.15,0.03,0.01
162,2701910.0,Bâle: ceinture suisse de l'agglomération,4.0,Vols de voitures,88.0,61.0,55.0,68.0
163,2701910.0,Bâle: ceinture suisse de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.26,0.18,0.16,0.2
164,2701910.0,Bâle: ceinture suisse de l'agglomération,6.0,Vols par effraction dans les logements,657.0,1021.0,1231.0,1080.0
165,2701910.0,Bâle: ceinture suisse de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,1.96,3.04,3.64,3.16
166,2701910.0,Bâle: ceinture suisse de l'agglomération,8.0,Personnes tuées dans les accidents de la route,13.0,13.0,5.0,9.0
167,2701910.0,Bâle: ceinture suisse de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.39,0.39,0.15,0.26
168,2701910.0,Bâle: ceinture suisse de l'agglomération,10.0,Blessés graves dans les accidents de la route,156.0,111.0,107.0,120.0
169,2701910.0,Bâle: ceinture suisse de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.66,3.3,3.16,3.52
170,2701920.0,Bâle: agglomération nationale,2.0,Homicides,2.0,8.0,2.0,5.0
171,2701920.0,Bâle: agglomération nationale,3.0,Homicides pour 10'000 habitants,0.04,0.16,0.04,0.01
172,2701920.0,Bâle: agglomération nationale,4.0,Vols de voitures,164.0,119.0,98.0,96.0
173,2701920.0,Bâle: agglomération nationale,5.0,Vols de voitures pour 1000 habitants,0.33,0.24,0.19,0.19
174,2701920.0,Bâle: agglomération nationale,6.0,Vols par effraction dans les logements,1126.0,1793.0,1806.0,1556.0
175,2701920.0,Bâle: agglomération nationale,7.0,Vols par effraction dans les logements pour 1000 habitants,2.26,3.58,3.58,3.06
176,2701920.0,Bâle: agglomération nationale,8.0,Personnes tuées dans les accidents de la route,16.0,18.0,7.0,10.0
177,2701920.0,Bâle: agglomération nationale,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.32,0.36,0.14,0.2
178,2701920.0,Bâle: agglomération nationale,10.0,Blessés graves dans les accidents de la route,240.0,184.0,180.0,203.0
179,2701920.0,Bâle: agglomération nationale,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.82,3.68,3.57,3.99
180,3203901.0,St-Gall: ville-centre,2.0,Homicides,2.0,0.0,0.0,1.0
181,3203901.0,St-Gall: ville-centre,3.0,Homicides pour 10'000 habitants,0.27,0.0,0.0,0.01
182,3203901.0,St-Gall: ville-centre,4.0,Vols de voitures,11.0,19.0,10.0,11.0
183,3203901.0,St-Gall: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.15,0.26,0.13,0.15
184,3203901.0,St-Gall: ville-centre,6.0,Vols par effraction dans les logements,144.0,196.0,151.0,167.0
185,3203901.0,St-Gall: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,1.97,2.67,2.04,2.24
186,3203901.0,St-Gall: ville-centre,8.0,Personnes tuées dans les accidents de la route,0.0,2.0,2.0,0.0
187,3203901.0,St-Gall: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.0,0.27,0.27,0.0
188,3203901.0,St-Gall: ville-centre,10.0,Blessés graves dans les accidents de la route,24.0,24.0,22.0,26.0
189,3203901.0,St-Gall: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,3.29,3.27,2.97,3.49
190,3203910.0,St-Gall: ceinture de l'agglomération,2.0,Homicides,0.0,0.0,0.0,0.0
191,3203910.0,St-Gall: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.0
192,3203910.0,St-Gall: ceinture de l'agglomération,4.0,Vols de voitures,7.0,12.0,10.0,12.0
193,3203910.0,St-Gall: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.09,0.15,0.13,0.15
194,3203910.0,St-Gall: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,59.0,119.0,105.0,79.0
195,3203910.0,St-Gall: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,0.76,1.53,1.34,1.0
196,3203910.0,St-Gall: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,0.0,1.0,0.0,0.0
197,3203910.0,St-Gall: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.0,0.13,0.0,0.0
198,3203910.0,St-Gall: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,44.0,30.0,24.0,20.0
199,3203910.0,St-Gall: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,5.69,3.85,3.07,2.54
200,3203920.0,St-Gall: agglomération,2.0,Homicides,2.0,0.0,0.0,1.0
201,3203920.0,St-Gall: agglomération,3.0,Homicides pour 10'000 habitants,0.13,0.0,0.0,0.01
202,3203920.0,St-Gall: agglomération,4.0,Vols de voitures,18.0,31.0,20.0,23.0
203,3203920.0,St-Gall: agglomération,5.0,Vols de voitures pour 1000 habitants,0.12,0.2,0.13,0.15
204,3203920.0,St-Gall: agglomération,6.0,Vols par effraction dans les logements,203.0,315.0,256.0,246.0
205,3203920.0,St-Gall: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,1.35,2.08,1.68,1.6
206,3203920.0,St-Gall: agglomération,8.0,Personnes tuées dans les accidents de la route,0.0,3.0,2.0,0.0
207,3203920.0,St-Gall: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.0,0.2,0.13,0.0
208,3203920.0,St-Gall: agglomération,10.0,Blessés graves dans les accidents de la route,68.0,54.0,46.0,46.0
209,3203920.0,St-Gall: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.53,3.57,3.02,3.0
210,5192901.0,Lugano: ville-centre,2.0,Homicides,0.0,0.0,0.0,0.0
211,5192901.0,Lugano: ville-centre,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.0
212,5192901.0,Lugano: ville-centre,4.0,Vols de voitures,15.0,18.0,20.0,13.0
213,5192901.0,Lugano: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.27,0.33,0.32,0.21
214,5192901.0,Lugano: ville-centre,6.0,Vols par effraction dans les logements,214.0,163.0,270.0,235.0
215,5192901.0,Lugano: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,3.91,2.96,4.37,3.74
216,5192901.0,Lugano: ville-centre,8.0,Personnes tuées dans les accidents de la route,1.0,2.0,1.0,2.0
217,5192901.0,Lugano: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.18,0.36,0.16,0.32
218,5192901.0,Lugano: ville-centre,10.0,Blessés graves dans les accidents de la route,60.0,48.0,35.0,42.0
219,5192901.0,Lugano: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,10.98,8.7,5.66,6.69
220,5192910.0,Lugano: ceinture de l'agglomération,2.0,Homicides,0.0,1.0,0.0,0.0
221,5192910.0,Lugano: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.0,0.13,0.0,0.0
222,5192910.0,Lugano: ceinture de l'agglomération,4.0,Vols de voitures,16.0,17.0,17.0,12.0
223,5192910.0,Lugano: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.2,0.21,0.22,0.15
224,5192910.0,Lugano: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,194.0,262.0,250.0,171.0
225,5192910.0,Lugano: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,2.47,3.3,3.28,2.19
226,5192910.0,Lugano: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,4.0,2.0,1.0,0.0
227,5192910.0,Lugano: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.51,0.25,0.13,0.0
228,5192910.0,Lugano: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,86.0,75.0,81.0,60.0
229,5192910.0,Lugano: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,10.96,9.44,10.63,7.7
230,5192920.0,Lugano: agglomération,2.0,Homicides,0.0,1.0,0.0,0.0
231,5192920.0,Lugano: agglomération,3.0,Homicides pour 10'000 habitants,0.0,0.07,0.0,0.0
232,5192920.0,Lugano: agglomération,4.0,Vols de voitures,31.0,35.0,37.0,25.0
233,5192920.0,Lugano: agglomération,5.0,Vols de voitures pour 1000 habitants,0.23,0.26,0.27,0.18
234,5192920.0,Lugano: agglomération,6.0,Vols par effraction dans les logements,408.0,425.0,520.0,406.0
235,5192920.0,Lugano: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,3.06,3.16,3.77,2.89
236,5192920.0,Lugano: agglomération,8.0,Personnes tuées dans les accidents de la route,5.0,4.0,2.0,2.0
237,5192920.0,Lugano: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.38,0.3,0.14,0.14
238,5192920.0,Lugano: agglomération,10.0,Blessés graves dans les accidents de la route,146.0,123.0,116.0,102.0
